Index,epoch,train/box_loss,train/seg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss
118,119,1.0026,1.0181,0.87265,0.7069,0.53968,0.74662,0.60241,0.22702,1.1735,1.1953
119,120,0.99893,1.0429,0.86801,0.71273,0.54473,0.76053,0.57882,0.21338,1.163,1.2401
120,121,0.9733,0.92433,0.87888,0.69458,0.53403,0.77211,0.55665,0.21091,1.2004,1.2922
121,122,0.99744,1.0275,0.90023,0.66502,0.53789,0.7769,0.53941,0.20548,1.1891,1.369
122,123,1.0081,1.0117,0.87249,0.70784,0.54443,0.74393,0.56404,0.20043,1.1848,1.2817
123,124,0.98785,0.97783,0.90371,0.6798,0.54277,0.75876,0.57143,0.18843,1.1388,1.2521
124,125,0.99123,1.006,0.87491,0.69704,0.53784,0.79004,0.58621,0.21768,1.1349,1.1659
125,126,0.98522,1.0232,0.86761,0.72167,0.53933,0.73874,0.5936,0.20407,1.1772,1.2459
126,127,0.98906,0.99556,0.86276,0.70197,0.54669,0.79811,0.57882,0.22881,1.1943,1.284
127,128,0.96846,0.99994,0.88596,0.69951,0.54545,0.75761,0.5851,0.21762,1.2038,1.3017
128,129,0.97114,0.98907,0.90385,0.7069,0.53171,0.75266,0.57882,0.19425,1.218,1.2498
129,130,0.96573,0.97535,0.88768,0.69951,0.54238,0.79288,0.56404,0.22765,1.1812,1.3536
130,131,0.97413,1.0231,0.90055,0.68719,0.52998,0.78343,0.54926,0.20294,1.1915,1.3853
131,132,0.98725,1.0621,0.85785,0.71182,0.53419,0.77293,0.57389,0.22851,1.2063,1.3197
132,133,0.9647,1.0016,0.89301,0.71958,0.54406,0.80753,0.57882,0.21756,1.1891,1.3037
133,134,0.96445,0.99879,0.90027,0.68928,0.54283,0.80575,0.56158,0.21229,1.15,1.3539
134,135,0.95434,0.96439,0.84542,0.71675,0.53882,0.82267,0.55419,0.21967,1.1603,1.3134
135,136,0.95779,0.95169,0.85439,0.66749,0.52995,0.73863,0.57143,0.22474,1.1724,1.2427
136,137,0.9434,1.0016,0.8486,0.71675,0.54013,0.78485,0.56404,0.20582,1.1884,1.284
137,138,0.96768,1.0214,0.8811,0.71187,0.55586,0.79688,0.56404,0.20942,1.149,1.2926
138,139,0.94609,0.92526,0.93192,0.70443,0.55081,0.81558,0.60591,0.22668,1.1551,1.2599
139,140,0.94439,1.0234,0.88207,0.68161,0.52505,0.82767,0.55172,0.1998,1.1568,1.3093
140,141,0.9686,0.96262,0.85799,0.68456,0.53576,0.76791,0.56404,0.20602,1.1424,1.2779
141,142,0.95479,0.96048,0.86668,0.66995,0.53792,0.74764,0.56916,0.20502,1.1598,1.2996
142,143,0.96045,0.99768,0.82702,0.68966,0.52662,0.81277,0.54531,0.193,1.1783,1.3342
143,144,0.95381,0.94459,0.92071,0.68643,0.5433,0.78725,0.59852,0.20488,1.1654,1.3309
144,145,0.94062,0.9536,0.91961,0.67624,0.53861,0.79233,0.58265,0.20894,1.1492,1.3319
145,146,0.95478,0.93376,0.8705,0.69538,0.53842,0.77585,0.55415,0.2122,1.1655,1.3299
146,147,0.92345,0.95311,0.90435,0.67532,0.5479,0.78046,0.5779,0.22213,1.1384,1.2735
147,148,0.92635,0.93698,0.87257,0.67463,0.5367,0.74821,0.5782,0.2135,1.158,1.303
148,149,0.94078,0.94111,0.89382,0.68419,0.54272,0.74804,0.57039,0.20414,1.1808,1.3812
149,150,0.94261,0.91538,0.88204,0.7266,0.53998,0.73806,0.61072,0.21459,1.1719,1.3264
150,151,0.9452,0.95708,0.86516,0.70936,0.54704,0.77799,0.60345,0.21589,1.1688,1.315
151,152,0.92224,0.93484,0.87209,0.71182,0.54384,0.75041,0.60723,0.20975,1.1806,1.3292
