,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,68,1.1364,1.1602,0.66173,0.82165,0.85275,0.67041,0.76246,0.49524,0.75744,0.58454,0.61905,0.20947,1.2657,1.2387,0.8841,0.81747,0.0086932,0.0086932,0.0086932
68,69,1.1526,1.1584,0.68281,0.81723,0.90141,0.63055,0.75814,0.49086,0.82929,0.53844,0.61394,0.19479,1.2547,1.2999,0.8458,0.81753,0.0086734,0.0086734,0.0086734
69,70,1.1567,1.1748,0.6684,0.8162,0.87642,0.66256,0.75052,0.4839,0.75444,0.5665,0.58359,0.1921,1.3108,1.3679,0.96113,0.82256,0.0086536,0.0086536,0.0086536
70,71,1.1118,1.1363,0.64001,0.81562,0.82967,0.65986,0.76586,0.49156,0.72517,0.57191,0.62177,0.19863,1.2263,1.4391,0.86854,0.81816,0.0086338,0.0086338,0.0086338
71,72,1.1131,1.157,0.65797,0.81173,0.83097,0.70197,0.77089,0.50521,0.78909,0.5665,0.63063,0.21837,1.2418,1.3619,0.82508,0.81483,0.008614,0.008614,0.008614
72,73,1.1464,1.1598,0.66337,0.80796,0.87744,0.65025,0.75014,0.48522,0.79751,0.56158,0.58896,0.19435,1.2533,1.3598,0.87976,0.81634,0.0085942,0.0085942,0.0085942
73,74,1.1378,1.1655,0.65883,0.81697,0.86298,0.65153,0.76779,0.49769,0.85315,0.54377,0.61965,0.20755,1.2536,1.2836,0.84124,0.81728,0.0085744,0.0085744,0.0085744
74,75,1.1041,1.1413,0.63587,0.81725,0.87238,0.67241,0.76542,0.50775,0.80915,0.55348,0.60514,0.20954,1.2495,1.3165,0.85783,0.82017,0.0085546,0.0085546,0.0085546
75,76,1.1335,1.1941,0.66956,0.81417,0.91503,0.66256,0.76749,0.49957,0.77001,0.5525,0.58688,0.1979,1.2733,1.3633,0.89513,0.81815,0.0085348,0.0085348,0.0085348
76,77,1.1209,1.151,0.64508,0.81632,0.89725,0.67241,0.77283,0.50817,0.75416,0.5665,0.59064,0.2033,1.1841,1.2996,0.82875,0.81424,0.008515,0.008515,0.008515
77,78,1.0857,1.1458,0.62549,0.81889,0.868,0.64788,0.75977,0.49729,0.79915,0.54187,0.60678,0.19975,1.2299,1.3683,0.85809,0.81675,0.0084952,0.0084952,0.0084952
78,79,1.1102,1.1087,0.64449,0.81362,0.84658,0.66597,0.75883,0.50645,0.79095,0.54984,0.6004,0.21531,1.2082,1.2612,0.86831,0.8137,0.0084754,0.0084754,0.0084754
79,80,1.1207,1.1317,0.65205,0.81463,0.906,0.66471,0.79825,0.53026,0.78179,0.57358,0.64981,0.23258,1.2209,1.2342,0.84175,0.80924,0.0084556,0.0084556,0.0084556
80,81,1.0822,1.0763,0.61308,0.81359,0.84785,0.70443,0.79016,0.52202,0.84187,0.57698,0.65208,0.21808,1.1759,1.2679,0.82693,0.80988,0.0084358,0.0084358,0.0084358
81,82,1.1091,1.1473,0.62434,0.81558,0.86915,0.68719,0.77805,0.50298,0.75667,0.58209,0.61761,0.2068,1.2173,1.2883,0.83403,0.81228,0.008416,0.008416,0.008416
